"","Preferred Label","In Scheme","Status","Alt. Label","Definition","Example","Editorial Note"
"Missing action","Label..."," --- ","Status...","Alt Label...","Definition...","Example...","Editorial Note..."
"","Recorder","Camera, Infrastructure","published","","A device to record to media the images captured by the camera.","","The media is, for example, a solid-state disk (SSD) or Cfast media. May be integrated into the camera."
"","Mag","Camera, Infrastructure","published","Magazine","Magazine","","Originally, the detachable part of a film camera that held the film. With digital cameras, it means the container that holds the recording media when it is inserted into the camera or the recorder."
"","Camera","Camera, Infrastructure","published","","A device for recording visual images in the form of photographs, film, or video signals.","",""
"","Lens","Camera, Infrastructure","published","","A device containing a series of curved glass elements used to focus light on the camera image or film.","",""
"","Color Space","Camera, Asset","published","","A predefined encoding for communicating color appearance.","",""
"","Timecode","Camera","published","","A linear sequence of numeric codes generated at a regular interview and usually recorded in the format: <hour>:<minute>:<second>:<frame>.","",""
"","Recorder Metadata","Camera","published","","Information about a Recorder and the recording media.","",""
"","Storage Media UID","Camera","published","","An alphanumeric code that uniquely identifies the storage media (i.e., mag) the footage was recorded on to.","A Mag.",""
"","Recorder Model","Camera","published","","The recorder model identifier assigned by the lens manufacturer or vendor.","",""
"","Recorder Serial Number","Camera","published","","A number unique to each recorder from the same manufacturer or vendor and of the same model.","",""
"","Recorder Make","Camera","published","","The recorder manufacturer or vendor.","",""
"","Recorder Firmware Version","Camera","published","","An alphanumeric code that identifies the firmware installed in the recorder at the time of recording.","",""
"","Camera Metadata","Camera","published","","Capture-specific details and information about the Camera itself.","",""
"","Flip - X","Camera","published","","The flip-X factor indicates whether the image is flipped horizontally.","",""
"","Camera Model","Camera","published","","The manufacturer's name for the camera model. For example, the name of the camera family followed by the name of the variant.","",""
"","Flip - Y","Camera","published","","The flip-Y factor indicates whether the image is flipped vertically.","",""
"","Playback Rate","Camera","published","Project FPS","The number of individual images per second of the intended playback speed.","","This is most commonly set to the same cadence as the recorded frames per second, though common in-camera effects such as slow motion manipulate the relationship between recorded and playback frames per second."
"","Capture Rate","Camera","published","","The number of individual images captured per second.","","This is most commonly set to the same cadence as the playback frames per second. Slow motion shots are recorded at a greater frames per second than playback, and with time lapse, the recorded frames per second are less than than the playback frames per second."
"","ISO Speed","Camera","published","","Arithmetic ISO scale as defined in ISO 12232","",""
"","Structured Camera Attributes","Camera","published","","A string representing any information not included in other camera attributes, but as a structure specific to the camera","",""
"","Roll","Camera","published","Dutch","The angle of the camera off of the roll axis, measured in degrees when the camera is level.","",""
"","Timecode - end","Camera","published","","Timecode when recording stopped","",""
"","Tilt","Camera","published","","The angle of a camera off its pitch axis, measured in degrees when the camera is level.","",""
"","Unstructured Camera Attributes","Camera","published","","A string representing any information not included in other camera attributes.","",""
"","Circle Take","Camera","published","","Indicating whether a recorded sequence of images is considered a candidate for use.","",""
"","FDL Link","Camera","published","","Unique identifier of the FDL used by the camera","",""
"","White balance","Camera","published","","The color temperature of white expressed in degrees Kelvin.","",""
"","Pixel Aspect Ratio","Camera","published","","Describes how the pixels are to be interpreted to correctly display the image.","",""
"","Reel Name","Camera","published","","A name assigned to a sequence of recorded images.","",""
"","Tint","Camera","published","","Defines the R/B white points against the green channel.","",""
"","Timecode - start","Camera","published","","Timecode when recording started","",""
"","Exposure Index","Camera","published","","Exposure index is the ISO rating used to determine exposure when the recording was made.","",""
"","Camera Label","Camera","published","","Human readable ID assigned to each production camera.","",""
"","Camera Firmware Version","Camera","published","","An alphanumeric code that identifies the firmware installed in the camera at the time of recording.","",""
"","Active Sensor Physical Dimensions","Camera","published","","Height and width of the active area of the camera sensor","",""
"","Frame Width","Camera","published","","The width of the intended image in pixels. This may or may not be the width of the recorded image or the sensor","",""
"","Camera UID","Camera","published","","An alphanumeric code that uniquely identifies the camera among all cameras from all vendors.","",""
"","Camera Serial Number","Camera","published","","An alphanumeric code assigned by the manufacturer to a camera.","",""
"","Camera Roll","Camera","published","","Identifier for a group of events captured together on the same camera and recording media.","",""
"","LUT UID","Camera","published","","An alphanumeric code that uniquely identifies the LUT loaded into the camera and applied to the monitor output during shooting.","",""
"","Frame Height","Camera","published","","The height of the intended image in pixels. This may or may not be the height of the recorded image or the sensor","",""
"","Camera Make","Camera","published","","The manufacturer or vendor of the camera.","",""
"","Frames Per Second","Camera","published","Frame Rate","The frequency at which consecutive images (frames) are recorded or played back.","",""
"","ISO","Camera","published","","The rating of the sensitivity of film or a camera sensor to light.","","The higher the ISO value, the more sensitive the film or camera imager is to light. Digital cinema cameras are often rated at 800."
"","Shutter Angle","Camera","published","","A measure of the exposure time of an image relative to the frame rate. 0 < shutter angle <= 360.","","Film cinema cameras use a rotating mechanical shutter that is a disc with a sector cut out and rotated one turn per frame. When the cut out passes over the film, the film is exposed to light. The most common shutter angle is 180 degrees which exposes the film for 50% of the time. If the frame rate is 24 fps, a 180-degree shutter angle would mean the exposure is 1/48th sec. This measurement is used with digital cameras although, with one exception, digital cameras have electronic shutters."
"","EI","Camera","published","","Exposure Index","","Where ISO is the rating of the film or sensor, EI is the rating at which the exposure was made.  For example, if we have a camera rated at 800 ISO and we are shooting in subdued light, we might choose to expose the image as though the imager was 1250 ISO. The EI is then used when the image is “developed” to correct for the difference."
"","LUT","Camera","published","","Look up table","","A look up table is an array, either two or three dimensional, that changes the way an image looks. For example, a LUT can be used to transform an image from one color space to another"
